14:42:51 - Buffer: lvp | interpreted_ar: مرح | back_to_en: lvp
14:43:34 - Buffer: notices | interpreted_ar: ىخفهؤثس | back_to_en: notices
14:43:35 - Buffer: exc | interpreted_ar: ثءؤ | back_to_en: exc
14:43:35 - Buffer: exce | interpreted_ar: ثءؤث | back_to_en: exce
14:43:35 - Buffer: excep | interpreted_ar: ثءؤثح | back_to_en: excep
14:43:35 - Buffer: except | interpreted_ar: ثءؤثحف | back_to_en: except
14:43:37 - Buffer: ver | interpreted_ar: رثق | back_to_en: ver
14:43:37 - Buffer: very | interpreted_ar: رثقغ | back_to_en: very
14:43:38 - Buffer: spe | interpreted_ar: سحث | back_to_en: spe
14:43:38 - Buffer: spec | interpreted_ar: سحثؤ | back_to_en: spec
14:43:39 - Buffer: speci | interpreted_ar: سحثؤه | back_to_en: speci
14:43:39 - Buffer: specif | interpreted_ar: سحثؤهب | back_to_en: specif
14:43:39 - Buffer: specifi | interpreted_ar: سحثؤهبه | back_to_en: specifi
14:43:39 - Buffer: specific | interpreted_ar: سحثؤهبهؤ | back_to_en: specific
14:43:40 - Buffer: wor | interpreted_ar: صخق | back_to_en: wor
14:43:40 - Buffer: word | interpreted_ar: صخقي | back_to_en: word
14:43:40 - Buffer: words | interpreted_ar: صخقيس | back_to_en: words
14:45:59 - Buffer: pkb | interpreted_ar: حنلا | back_to_en: pkb
14:45:59 - Buffer: pkb | interpreted_ar: حنلا | back_to_en: pkb
14:45:59 - TRIGGERED: Arabic in English mode
14:45:59 - TRIGGERED: Arabic in English mode (No English vowels detected)
14:46:00 - Buffer: amm | interpreted_ar: شةة | back_to_en: amm
14:46:04 - Buffer: mmm | interpreted_ar: ةةة | back_to_en: mmm
14:46:04 - TRIGGERED: Arabic in English mode (No English vowels detected)
14:46:04 - TRIGGERED: Arabic in English mode
14:46:04 - Buffer: mmm | interpreted_ar: ةةة | back_to_en: mmm
14:46:04 - Buffer: mmm | interpreted_ar: ةةة | back_to_en: mmm
14:46:04 - TRIGGERED: Arabic in English mode
14:46:04 - TRIGGERED: Arabic in English mode (No English vowels detected)
14:46:13 - Buffer: noq | interpreted_ar: ىخض | back_to_en: noq
14:46:13 - Buffer: noq | interpreted_ar: ىخض | back_to_en: noq
14:46:14 - Buffer: now | interpreted_ar: ىخص | back_to_en: now
14:46:14 - Buffer: now | interpreted_ar: ىخص | back_to_en: now
14:46:15 - Buffer: wri | interpreted_ar: صقه | back_to_en: wri
14:46:16 - Buffer: writ | interpreted_ar: صقهف | back_to_en: writ
14:46:16 - Buffer: writ | interpreted_ar: صقهف | back_to_en: writ
14:46:16 - Buffer: writi | interpreted_ar: صقهفه | back_to_en: writi
14:46:16 - Buffer: writi | interpreted_ar: صقهفه | back_to_en: writi
14:46:16 - Buffer: writin | interpreted_ar: صقهفهى | back_to_en: writin
14:46:16 - Buffer: writin | interpreted_ar: صقهفهى | back_to_en: writin
14:46:16 - Buffer: writing | interpreted_ar: صقهفهىل | back_to_en: writing
14:46:16 - Buffer: writing | interpreted_ar: صقهفهىل | back_to_en: writing
14:46:18 - Buffer: eng | interpreted_ar: ثىل | back_to_en: eng
14:46:18 - Buffer: engl | interpreted_ar: ثىلم | back_to_en: engl
14:46:18 - Buffer: engl | interpreted_ar: ثىلم | back_to_en: engl
14:46:18 - Buffer: engli | interpreted_ar: ثىلمه | back_to_en: engli
14:46:18 - Buffer: engli | interpreted_ar: ثىلمه | back_to_en: engli
14:46:18 - Buffer: englis | interpreted_ar: ثىلمهس | back_to_en: englis
14:46:18 - Buffer: englis | interpreted_ar: ثىلمهس | back_to_en: englis
14:46:18 - Buffer: english | interpreted_ar: ثىلمهسا | back_to_en: english
14:46:18 - Buffer: english | interpreted_ar: ثىلمهسا | back_to_en: english
14:46:20 - Buffer: and | interpreted_ar: شىي | back_to_en: and
14:46:20 - Buffer: and | interpreted_ar: شىي | back_to_en: and
14:46:21 - Buffer: sti | interpreted_ar: سفه | back_to_en: sti
14:46:21 - Buffer: sti | interpreted_ar: سفه | back_to_en: sti
14:46:21 - Buffer: stil | interpreted_ar: سفهم | back_to_en: stil
14:46:21 - Buffer: stil | interpreted_ar: سفهم | back_to_en: stil
14:46:22 - Buffer: still | interpreted_ar: سفهمم | back_to_en: still
14:46:22 - Buffer: still | interpreted_ar: سفهمم | back_to_en: still
14:46:24 - Buffer: cor | interpreted_ar: ؤخق | back_to_en: cor
14:46:24 - Buffer: corr | interpreted_ar: ؤخقق | back_to_en: corr
14:46:24 - Buffer: corr | interpreted_ar: ؤخقق | back_to_en: corr
14:46:24 - Buffer: corre | interpreted_ar: ؤخققث | back_to_en: corre
14:46:24 - Buffer: corre | interpreted_ar: ؤخققث | back_to_en: corre
14:46:24 - Buffer: correc | interpreted_ar: ؤخققثؤ | back_to_en: correc
14:46:24 - Buffer: correc | interpreted_ar: ؤخققثؤ | back_to_en: correc
14:46:24 - Buffer: correct | interpreted_ar: ؤخققثؤف | back_to_en: correct
14:46:24 - Buffer: correct | interpreted_ar: ؤخققثؤف | back_to_en: correct
14:46:25 - Buffer: correcti | interpreted_ar: ؤخققثؤفه | back_to_en: correcti
14:46:25 - Buffer: correcti | interpreted_ar: ؤخققثؤفه | back_to_en: correcti
14:46:25 - Buffer: correctin | interpreted_ar: ؤخققثؤفهى | back_to_en: correctin
14:46:25 - Buffer: correctin | interpreted_ar: ؤخققثؤفهى | back_to_en: correctin
14:46:25 - Buffer: correcting | interpreted_ar: ؤخققثؤفهىل | back_to_en: correcting
14:46:25 - Buffer: correcting | interpreted_ar: ؤخققثؤفهىل | back_to_en: correcting
14:46:33 - Buffer: tho | interpreted_ar: فاخ | back_to_en: tho
14:46:33 - Buffer: tho | interpreted_ar: فاخ | back_to_en: tho
14:46:33 - Buffer: thou | interpreted_ar: فاخع | back_to_en: thou
14:46:33 - Buffer: thoug | interpreted_ar: فاخعل | back_to_en: thoug
14:46:33 - Buffer: thoug | interpreted_ar: فاخعل | back_to_en: thoug
14:46:33 - Buffer: though | interpreted_ar: فاخعلا | back_to_en: though
14:46:33 - Buffer: though | interpreted_ar: فاخعلا | back_to_en: though
14:46:34 - Buffer: tha | interpreted_ar: فاش | back_to_en: tha
14:46:34 - Buffer: tha | interpreted_ar: فاش | back_to_en: tha
14:46:34 - Buffer: that | interpreted_ar: فاشف | back_to_en: that
14:46:35 - Buffer: wat | interpreted_ar: صشف | back_to_en: wat
14:46:37 - Buffer: int | interpreted_ar: هىف | back_to_en: int
14:46:37 - Buffer: inte | interpreted_ar: هىفث | back_to_en: inte
14:46:37 - Buffer: inte | interpreted_ar: هىفث | back_to_en: inte
14:46:37 - Buffer: inten | interpreted_ar: هىفثى | back_to_en: inten
14:46:37 - Buffer: inten | interpreted_ar: هىفثى | back_to_en: inten
14:46:37 - Buffer: intend | interpreted_ar: هىفثىي | back_to_en: intend
14:46:37 - Buffer: intend | interpreted_ar: هىفثىي | back_to_en: intend
14:46:37 - Buffer: intendi | interpreted_ar: هىفثىيه | back_to_en: intendi
14:46:37 - Buffer: intendi | interpreted_ar: هىفثىيه | back_to_en: intendi
14:46:38 - Buffer: intendin | interpreted_ar: هىفثىيهى | back_to_en: intendin
14:46:38 - Buffer: intendin | interpreted_ar: هىفثىيهى | back_to_en: intendin
14:46:38 - Buffer: intending | interpreted_ar: هىفثىيهىل | back_to_en: intending
14:46:38 - Buffer: intending | interpreted_ar: هىفثىيهىل | back_to_en: intending
14:46:43 - Buffer: now | interpreted_ar: ىخص | back_to_en: now
14:46:45 - Buffer: wri | interpreted_ar: صقه | back_to_en: wri
14:46:45 - Buffer: wri | interpreted_ar: صقه | back_to_en: wri
14:46:45 - Buffer: writ | interpreted_ar: صقهف | back_to_en: writ
14:46:45 - Buffer: writ | interpreted_ar: صقهف | back_to_en: writ
14:46:45 - Buffer: writi | interpreted_ar: صقهفه | back_to_en: writi
14:46:45 - Buffer: writin | interpreted_ar: صقهفهى | back_to_en: writin
14:46:46 - Buffer: writing | interpreted_ar: صقهفهىل | back_to_en: writing
14:46:47 - Buffer: eng | interpreted_ar: ثىل | back_to_en: eng
14:46:47 - Buffer: eng | interpreted_ar: ثىل | back_to_en: eng
14:46:47 - Buffer: engl | interpreted_ar: ثىلم | back_to_en: engl
14:46:47 - Buffer: engli | interpreted_ar: ثىلمه | back_to_en: engli
14:46:47 - Buffer: englis | interpreted_ar: ثىلمهس | back_to_en: englis
14:46:47 - Buffer: englis | interpreted_ar: ثىلمهس | back_to_en: englis
14:46:48 - Buffer: english | interpreted_ar: ثىلمهسا | back_to_en: english
14:46:54 - Buffer: the | interpreted_ar: فاث | back_to_en: the
14:46:54 - Buffer: ther | interpreted_ar: فاثق | back_to_en: ther
14:46:55 - Buffer: there | interpreted_ar: فاثقث | back_to_en: there
14:46:57 - Buffer: her | interpreted_ar: اثق | back_to_en: her
14:46:57 - Buffer: her | interpreted_ar: اثق | back_to_en: her
14:46:57 - Buffer: here | interpreted_ar: اثقث | back_to_en: here
14:47:02 - Buffer: hel | interpreted_ar: اثم | back_to_en: hel
14:47:02 - Buffer: hel | interpreted_ar: اثم | back_to_en: hel
14:47:02 - Buffer: hell | interpreted_ar: اثمم | back_to_en: hell
14:47:02 - Buffer: hell | interpreted_ar: اثمم | back_to_en: hell
14:47:03 - Buffer: hello | interpreted_ar: اثممخ | back_to_en: hello
14:47:03 - Buffer: hello | interpreted_ar: اثممخ | back_to_en: hello
14:47:08 - Buffer: lvp | interpreted_ar: مرح | back_to_en: lvp
14:47:08 - Buffer: lvp | interpreted_ar: مرح | back_to_en: lvp
14:47:08 - TRIGGERED: Arabic in English mode (No English vowels detected)
14:47:08 - TRIGGERED: Arabic in English mode
14:47:20 - Buffer: gsl | interpreted_ar: لسم | back_to_en: gsl
14:47:20 - Buffer: gsl | interpreted_ar: لسم | back_to_en: gsl
14:47:20 - TRIGGERED: Arabic in English mode
14:47:20 - TRIGGERED: Arabic in English mode (No English vowels detected)
14:47:39 - Buffer: amm | interpreted_ar: شةة | back_to_en: amm
14:47:39 - Buffer: amm | interpreted_ar: شةة | back_to_en: amm
14:47:40 - Buffer: ammo | interpreted_ar: شةةخ | back_to_en: ammo
14:47:40 - Buffer: ammon | interpreted_ar: شةةخى | back_to_en: ammon
14:47:40 - Buffer: ammon | interpreted_ar: شةةخى | back_to_en: ammon
14:47:40 - Buffer: ammoni | interpreted_ar: شةةخىه | back_to_en: ammoni
14:47:41 - Buffer: ammonia | interpreted_ar: شةةخىهش | back_to_en: ammonia
14:47:42 - Buffer: pkb | interpreted_ar: حنلا | back_to_en: pkb
14:47:42 - Buffer: pkb | interpreted_ar: حنلا | back_to_en: pkb
14:47:42 - TRIGGERED: Arabic in English mode
14:47:42 - TRIGGERED: Arabic in English mode (No English vowels detected)
14:49:20 - Buffer: hsb | interpreted_ar: اسلا | back_to_en: hsb
14:49:20 - Buffer: hsb | interpreted_ar: اسلا | back_to_en: hsb
14:49:20 - Buffer: hsb | interpreted_ar: اسلا | back_to_en: hsb
14:49:20 - TRIGGERED: Arabic in English mode
14:49:20 - TRIGGERED: Arabic in English mode (No English vowels detected)
14:49:20 - Buffer: hsbr | interpreted_ar: اسلاق | back_to_en: hsbr
14:49:22 - Buffer: abe | interpreted_ar: شلاث | back_to_en: abe
14:49:23 - Buffer: aber | interpreted_ar: شلاثق | back_to_en: aber
14:49:30 - Buffer: hid | interpreted_ar: اهي | back_to_en: hid
14:49:30 - Buffer: hid | interpreted_ar: اهي | back_to_en: hid
14:49:30 - Buffer: hid | interpreted_ar: اهي | back_to_en: hid
14:49:30 - Buffer: hidn | interpreted_ar: اهيى | back_to_en: hidn
14:49:30 - Buffer: hidne | interpreted_ar: اهيىث | back_to_en: hidne
14:49:30 - Buffer: hidne | interpreted_ar: اهيىث | back_to_en: hidne
14:49:30 - Buffer: hidner | interpreted_ar: اهيىثق | back_to_en: hidner
14:49:30 - Buffer: hidner | interpreted_ar: اهيىثق | back_to_en: hidner
14:49:30 - Buffer: hidners | interpreted_ar: اهيىثقس | back_to_en: hidners
14:49:30 - Buffer: hidners | interpreted_ar: اهيىثقس | back_to_en: hidners
14:49:31 - Buffer: hidnerso | interpreted_ar: اهيىثقسخ | back_to_en: hidnerso
14:49:31 - Buffer: hidnerso | interpreted_ar: اهيىثقسخ | back_to_en: hidnerso
14:49:31 - Buffer: hidnerso | interpreted_ar: اهيىثقسخ | back_to_en: hidnerso
14:49:31 - Buffer: hidnerson | interpreted_ar: اهيىثقسخى | back_to_en: hidnerson
14:49:31 - Buffer: hidnerson | interpreted_ar: اهيىثقسخى | back_to_en: hidnerson
14:49:42 - Buffer: hen | interpreted_ar: اثى | back_to_en: hen
14:49:42 - Buffer: hen | interpreted_ar: اثى | back_to_en: hen
14:49:42 - Buffer: hend | interpreted_ar: اثىي | back_to_en: hend
14:49:42 - Buffer: hend | interpreted_ar: اثىي | back_to_en: hend
14:49:42 - Buffer: hendr | interpreted_ar: اثىيق | back_to_en: hendr
14:49:42 - Buffer: hendr | interpreted_ar: اثىيق | back_to_en: hendr
14:49:42 - Buffer: hendrs | interpreted_ar: اثىيقس | back_to_en: hendrs
14:49:42 - Buffer: hendrs | interpreted_ar: اثىيقس | back_to_en: hendrs
14:49:42 - TRIGGERED: Arabic in English mode
14:51:54 - Buffer: lvp | interpreted_ar: مرح | back_to_en: lvp
14:51:54 - Buffer: lvp | interpreted_ar: مرح | back_to_en: lvp
14:51:54 - Buffer: lvp | interpreted_ar: مرح | back_to_en: lvp
14:51:54 - TRIGGERED: Arabic in English mode
14:51:54 - TRIGGERED: Arabic in English mode (No English vowels detected)
14:51:54 - Buffer: lvpf | interpreted_ar: مرحب | back_to_en: lvpf
14:52:01 - Buffer: lvp | interpreted_ar: مرح | back_to_en: lvp
14:52:01 - Buffer: lvp | interpreted_ar: مرح | back_to_en: lvp
14:52:01 - TRIGGERED: Arabic in English mode
14:52:01 - TRIGGERED: Arabic in English mode (No English vowels detected)
14:52:01 - Buffer: lvpf | interpreted_ar: مرحب | back_to_en: lvpf
14:52:09 - Buffer: hGs | interpreted_ar: الأس | back_to_en: hGs
14:52:09 - Buffer: hgs | interpreted_ar: الأس | back_to_en: hgs
14:52:09 - TRIGGERED: Arabic in English mode (No English vowels detected)
14:52:09 - TRIGGERED: Arabic in English mode
14:52:09 - Buffer: hgsl | interpreted_ar: الأسم | back_to_en: hgsl
14:52:14 - Buffer: the | interpreted_ar: فاث | back_to_en: the
14:52:14 - Buffer: the | interpreted_ar: فاث | back_to_en: the
14:52:14 - Buffer: the | interpreted_ar: فاث | back_to_en: the
14:52:14 - Buffer: ther | interpreted_ar: فاثق | back_to_en: ther
14:52:14 - Buffer: ther | interpreted_ar: فاثق | back_to_en: ther
14:52:14 - Buffer: ther | interpreted_ar: فاثق | back_to_en: ther
14:52:14 - Buffer: there | interpreted_ar: فاثقث | back_to_en: there
14:52:14 - Buffer: there | interpreted_ar: فاثقث | back_to_en: there
14:52:14 - Buffer: there | interpreted_ar: فاثقث | back_to_en: there
14:52:16 - Buffer: sei | interpreted_ar: سثه | back_to_en: sei
14:52:16 - Buffer: sei | interpreted_ar: سثه | back_to_en: sei
14:52:16 - Buffer: seif | interpreted_ar: سثهب | back_to_en: seif
14:52:16 - Buffer: seif | interpreted_ar: سثهب | back_to_en: seif
14:52:18 - Buffer: lol | interpreted_ar: مخم | back_to_en: lol
14:52:18 - Buffer: lol | interpreted_ar: مخم | back_to_en: lol
14:52:20 - Buffer: was | interpreted_ar: صشس | back_to_en: was
14:52:20 - Buffer: was | interpreted_ar: صشس | back_to_en: was
14:52:21 - Buffer: not | interpreted_ar: ىخف | back_to_en: not
14:52:21 - Buffer: not | interpreted_ar: ىخف | back_to_en: not
14:52:21 - Buffer: not | interpreted_ar: ىخف | back_to_en: not
14:52:22 - Buffer: her | interpreted_ar: اثق | back_to_en: her
14:52:22 - Buffer: her | interpreted_ar: اثق | back_to_en: her
14:52:22 - Buffer: her | interpreted_ar: اثق | back_to_en: her
14:52:22 - Buffer: here | interpreted_ar: اثقث | back_to_en: here
14:52:22 - Buffer: here | interpreted_ar: اثقث | back_to_en: here
14:52:25 - Buffer: sdt | interpreted_ar: سيف | back_to_en: sdt
14:52:25 - Buffer: sdt | interpreted_ar: سيف | back_to_en: sdt
14:52:25 - TRIGGERED: Arabic in English mode
14:52:25 - TRIGGERED: Arabic in English mode (No English vowels detected)
14:52:31 - Buffer: hkh | interpreted_ar: انا | back_to_en: hkh
14:52:31 - TRIGGERED: Arabic in English mode
14:52:31 - TRIGGERED: Arabic in English mode (No English vowels detected)
14:52:40 - Buffer: k,k | interpreted_ar: نون | back_to_en: k<k
14:52:40 - TRIGGERED: Arabic in English mode
No English vowels detected)
14:52:48 - Buffer: goo | interpreted_ar: لخخ | back_to_en: goo
14:52:48 - Buffer: goo | interpreted_ar: لخخ | back_to_en: goo
14:52:48 - Buffer: good | interpreted_ar: لخخي | back_to_en: good
14:52:48 - Buffer: good | interpreted_ar: لخخي | back_to_en: good
14:52:48 - Buffer: good | interpreted_ar: لخخي | back_to_en: good
14:52:49 - Buffer: eng | interpreted_ar: ثىل | back_to_en: eng
14:52:49 - Buffer: eng | interpreted_ar: ثىل | back_to_en: eng
14:52:50 - Buffer: now | interpreted_ar: ىخص | back_to_en: now
14:52:51 - Buffer: but | interpreted_ar: لاعف | back_to_en: but
14:52:51 - Buffer: but | interpreted_ar: لاعف | back_to_en: but
14:52:51 - Buffer: but | interpreted_ar: لاعف | back_to_en: but
14:52:52 - Buffer: for | interpreted_ar: بخق | back_to_en: for
14:52:52 - Buffer: for | interpreted_ar: بخق | back_to_en: for
14:52:52 - Buffer: for | interpreted_ar: بخق | back_to_en: for
14:52:53 - Buffer: ara | interpreted_ar: شقش | back_to_en: ara
14:52:53 - Buffer: arab | interpreted_ar: شقشلا | back_to_en: arab
14:52:53 - Buffer: arab | interpreted_ar: شقشلا | back_to_en: arab
14:52:54 - Buffer: arabi | interpreted_ar: شقشلاه | back_to_en: arabi
14:52:54 - Buffer: arabi | interpreted_ar: شقشلاه | back_to_en: arabi
14:52:54 - Buffer: arabi | interpreted_ar: شقشلاه | back_to_en: arabi
14:52:54 - Buffer: arabic | interpreted_ar: شقشلاهؤ | back_to_en: arabic
14:52:54 - Buffer: arabic | interpreted_ar: شقشلاهؤ | back_to_en: arabic
14:52:54 - Buffer: whe | interpreted_ar: صاث | back_to_en: whe
14:52:54 - Buffer: whe | interpreted_ar: صاث | back_to_en: whe
14:52:55 - Buffer: when | interpreted_ar: صاثى | back_to_en: when
14:52:56 - Buffer: wri | interpreted_ar: صقه | back_to_en: wri
14:52:56 - Buffer: wri | interpreted_ar: صقه | back_to_en: wri
14:52:56 - Buffer: wri | interpreted_ar: صقه | back_to_en: wri
14:52:56 - Buffer: writ | interpreted_ar: صقهف | back_to_en: writ
14:52:56 - Buffer: writ | interpreted_ar: صقهف | back_to_en: writ
14:52:56 - Buffer: writ | interpreted_ar: صقهف | back_to_en: writ
14:52:56 - Buffer: writi | interpreted_ar: صقهفه | back_to_en: writi
14:52:56 - Buffer: writi | interpreted_ar: صقهفه | back_to_en: writi
14:52:56 - Buffer: writin | interpreted_ar: صقهفهى | back_to_en: writin
14:52:56 - Buffer: writin | interpreted_ar: صقهفهى | back_to_en: writin
14:52:56 - Buffer: writing | interpreted_ar: صقهفهىل | back_to_en: writing
14:52:56 - Buffer: writing | interpreted_ar: صقهفهىل | back_to_en: writing
14:52:56 - Buffer: writing | interpreted_ar: صقهفهىل | back_to_en: writing
14:52:58 - Buffer: ara | interpreted_ar: شقش | back_to_en: ara
14:52:58 - Buffer: arab | interpreted_ar: شقشلا | back_to_en: arab
14:52:58 - Buffer: arab | interpreted_ar: شقشلا | back_to_en: arab
14:52:58 - Buffer: arabi | interpreted_ar: شقشلاه | back_to_en: arabi
14:52:58 - Buffer: arabi | interpreted_ar: شقشلاه | back_to_en: arabi
14:52:58 - Buffer: arabic | interpreted_ar: شقشلاهؤ | back_to_en: arabic
14:52:58 - Buffer: arabic | interpreted_ar: شقشلاهؤ | back_to_en: arabic
14:53:00 - Buffer: thi | interpreted_ar: فاه | back_to_en: thi
14:53:00 - Buffer: thin | interpreted_ar: فاهى | back_to_en: thin
14:53:00 - Buffer: thin | interpreted_ar: فاهى | back_to_en: thin
14:53:00 - Buffer: thin | interpreted_ar: فاهى | back_to_en: thin
14:53:00 - Buffer: think | interpreted_ar: فاهىن | back_to_en: think
14:53:00 - Buffer: think | interpreted_ar: فاهىن | back_to_en: think
14:53:01 - Buffer: thinks | interpreted_ar: فاهىنس | back_to_en: thinks
14:53:01 - Buffer: all | interpreted_ar: شمم | back_to_en: all
14:53:01 - Buffer: all | interpreted_ar: شمم | back_to_en: all
14:53:01 - Buffer: all | interpreted_ar: شمم | back_to_en: all
14:53:02 - Buffer: wro | interpreted_ar: صقخ | back_to_en: wro
14:53:02 - Buffer: wro | interpreted_ar: صقخ | back_to_en: wro
14:53:02 - Buffer: wro | interpreted_ar: صقخ | back_to_en: wro
14:53:03 - Buffer: wron | interpreted_ar: صقخى | back_to_en: wron
14:53:03 - Buffer: wron | interpreted_ar: صقخى | back_to_en: wron
14:53:03 - Buffer: wrong | interpreted_ar: صقخىل | back_to_en: wrong
14:53:03 - Buffer: wrong | interpreted_ar: صقخىل | back_to_en: wrong
14:53:05 - Buffer: int | interpreted_ar: هىف | back_to_en: int
14:53:05 - Buffer: int | interpreted_ar: هىف | back_to_en: int
14:53:06 - Buffer: inte | interpreted_ar: هىفث | back_to_en: inte
14:53:06 - Buffer: inte | interpreted_ar: هىفث | back_to_en: inte
14:53:06 - Buffer: inte | interpreted_ar: هىفث | back_to_en: inte
14:53:06 - Buffer: inten | interpreted_ar: هىفثى | back_to_en: inten
14:53:06 - Buffer: inten | interpreted_ar: هىفثى | back_to_en: inten
14:53:07 - Buffer: intend | interpreted_ar: هىفثىي | back_to_en: intend
14:53:07 - Buffer: intend | interpreted_ar: هىفثىي | back_to_en: intend
14:53:07 - Buffer: intende | interpreted_ar: هىفثىيث | back_to_en: intende
14:53:07 - Buffer: intende | interpreted_ar: هىفثىيث | back_to_en: intende
14:53:07 - Buffer: intended | interpreted_ar: هىفثىيثي | back_to_en: intended
14:53:07 - Buffer: intended | interpreted_ar: هىفثىيثي | back_to_en: intended
14:53:07 - Buffer: intended | interpreted_ar: هىفثىيثي | back_to_en: intended
14:53:08 - Buffer: eng | interpreted_ar: ثىل | back_to_en: eng
14:53:08 - Buffer: eng | interpreted_ar: ثىل | back_to_en: eng
14:53:09 - Buffer: engl | interpreted_ar: ثىلم | back_to_en: engl
14:53:09 - Buffer: engl | interpreted_ar: ثىلم | back_to_en: engl
14:53:09 - Buffer: engli | interpreted_ar: ثىلمه | back_to_en: engli
14:53:09 - Buffer: engli | interpreted_ar: ثىلمه | back_to_en: engli
14:53:09 - Buffer: engli | interpreted_ar: ثىلمه | back_to_en: engli
14:53:09 - Buffer: englis | interpreted_ar: ثىلمهس | back_to_en: englis
14:53:09 - Buffer: englis | interpreted_ar: ثىلمهس | back_to_en: englis
14:53:10 - Buffer: english | interpreted_ar: ثىلمهسا | back_to_en: english
14:53:10 - Buffer: english | interpreted_ar: ثىلمهسا | back_to_en: english
15:05:29 - Buffer: wat | interpreted_ar: صشف | back_to_en: wat
15:05:29 - Buffer: wat | interpreted_ar: صشف | back_to_en: wat
15:05:29 - Buffer: wate | interpreted_ar: صشفث | back_to_en: wate
15:05:29 - Buffer: wate | interpreted_ar: صشفث | back_to_en: wate
15:05:30 - Buffer: water | interpreted_ar: صشفثق | back_to_en: water
15:05:30 - Buffer: water | interpreted_ar: صشفثق | back_to_en: water
15:05:31 - Buffer: pkb | interpreted_ar: حنلا | back_to_en: pkb
15:05:31 - TRIGGERED: Arabic in English mode
15:05:31 - TRIGGERED: Arabic in English mode (No English vowels detected)
15:05:47 - Buffer: wat | interpreted_ar: صشف | back_to_en: wat
15:05:47 - Buffer: wat | interpreted_ar: صشف | back_to_en: wat
15:05:47 - Buffer: wate | interpreted_ar: صشفث | back_to_en: wate
15:05:47 - Buffer: wate | interpreted_ar: صشفث | back_to_en: wate
15:05:47 - Buffer: wate | interpreted_ar: صشفث | back_to_en: wate
15:05:48 - Buffer: water | interpreted_ar: صشفثق | back_to_en: water
15:05:49 - Buffer: pkb | interpreted_ar: حنلا | back_to_en: pkb
15:05:49 - Buffer: pkb | interpreted_ar: حنلا | back_to_en: pkb
15:05:49 - TRIGGERED: Arabic in English mode (No English vowels detected)
15:05:49 - TRIGGERED: Arabic in English mode
15:05:50 - Buffer: pkbs | interpreted_ar: حنلاس | back_to_en: pkbs
15:05:55 - Buffer: pkb | interpreted_ar: حنلا | back_to_en: pkb
15:05:55 - TRIGGERED: Arabic in English mode
15:05:55 - TRIGGERED: Arabic in English mode (No English vowels detected)
15:05:59 - Buffer: pkb | interpreted_ar: حنلا | back_to_en: pkb
15:05:59 - TRIGGERED: Arabic in English mode
15:05:59 - TRIGGERED: Arabic in English mode (No English vowels detected)
15:06:34 - Buffer: was | interpreted_ar: صشس | back_to_en: was
15:06:35 - Buffer: wri | interpreted_ar: صقه | back_to_en: wri
15:06:35 - Buffer: wri | interpreted_ar: صقه | back_to_en: wri
15:06:35 - Buffer: wri | interpreted_ar: صقه | back_to_en: wri
15:06:36 - Buffer: writ | interpreted_ar: صقهف | back_to_en: writ
15:06:36 - Buffer: writ | interpreted_ar: صقهف | back_to_en: writ
15:06:36 - Buffer: writi | interpreted_ar: صقهفه | back_to_en: writi
15:06:36 - Buffer: writi | interpreted_ar: صقهفه | back_to_en: writi
